id,value
id_0,5.977233876158616
id_1,17.21053962853025
id_2,27.10828127719511
id_3,6.426142972866956
id_4,27.575590507509816
id_5,22.156627606758494
id_6,24.2671354006836
id_7,31.25787427135068
id_8,18.051889650349494
id_9,61.60009623181663
id_10,11.930412046871547
id_11,10.915405691061803
id_12,64.46281399157981
id_13,55.16508593184729
id_14,21.69549627796139
id_15,11.108735099098842
id_16,33.76635698107525
id_17,69.01451485729565
id_18,-0.5654557400362514
id_19,16.00852390376634
id_20,41.5528140827092
id_21,73.82827368327
id_22,9.243744204383011
id_23,19.358171979243576
id_24,13.344443256130022
id_25,39.695041398068376
id_26,13.909687758559324
id_27,66.58166783292948
id_28,6.458870605118115
id_29,58.10343490525708
id_30,26.009518172130537
id_31,9.281576509483124
id_32,1.6439743542370002
id_33,19.15806934142114
id_34,30.33701813701323
id_35,38.716389847766244
id_36,43.09429167396799
id_37,30.749677466657538
id_38,43.56928246898601
id_39,37.345370749691035
id_40,10.007588683643426
id_41,40.99111175138028
id_42,32.12021900492555
id_43,52.339316609369725
id_44,17.528866705590634
id_45,36.36872915847855
id_46,23.14761724032313
id_47,9.363423344430709
id_48,27.775640116328695
id_49,31.634737056114894
id_50,23.20145707597444
id_51,8.424154397192652
id_52,22.977955770187418
id_53,53.25678428846693
id_54,15.482646220377333
id_55,36.49274684321949
id_56,32.475298714953496
id_57,20.745164864647087
id_58,58.80272007061921
id_59,23.18516854308129
id_60,14.573329426042644
id_61,43.59574064745601
id_62,13.26765196987602
id_63,50.76809494197303
id_64,13.9226984643051
id_65,14.114021316069076
id_66,14.86600849222623
id_67,-1.0000014091890403
id_68,44.448534164353276
id_69,31.35374684485429
id_70,19.88499409114482
id_71,40.3708884784792
id_72,61.824382633580925
id_73,5.541468757139426
id_74,17.46381175362023
id_75,3.0389217943341413
id_76,41.767933032233906
id_77,14.91061396224238
id_78,24.9440901394736
id_79,20.770225314836917
id_80,22.91059019189156
id_81,36.07646399917846
id_82,23.150222181407564
id_83,91.83301268079263
id_84,36.46205644454392
id_85,28.89399545872017
id_86,21.762106527521592
id_87,32.7636110398796
id_88,23.246879942649812
id_89,20.571806784926324
id_90,29.45591311612215
id_91,41.40565872955379
id_92,4.57809988590804
id_93,39.190332643574
id_94,44.91943694904089
id_95,17.284548728569508
id_96,31.979143988514625
id_97,13.195751041170421
id_98,23.33511104466131
id_99,5.428023023320687
id_100,17.22119079500654
id_101,26.85199273696929
id_102,15.67624846588918
id_103,16.235503419411355
id_104,25.177631067283336
id_105,39.09842345257026
id_106,32.343782906688354
id_107,5.31717656986534
id_108,6.61785056836974
id_109,78.53418801081948
id_110,48.09286227389523
id_111,16.816607466679724
id_112,28.76725102689723
id_113,17.162791051603204
id_114,12.94458080307999
id_115,24.53494995981217
id_116,28.173397298109258
id_117,9.602248381100596
